ファイル,行,旧参照,新参照,内容変化の有無,備考
lib/builtin.ml,38,sample.kel:235-237,sample.kel:259-261,無,
lib/builtin.ml,101,sample.kel:525-530,sample.kel:576-581,無,
lib/builtin.ml,104,sample.kel:529-530,sample.kel:580-581,無,
lib/builtin.ml,191,sample.kel:221,sample.kel:245,無,
lib/builtin.ml,194,sample.kel:767-771,sample.kel:831-836,有,"置換/削除された旧行: 767,768,769,770"
lib/decls.ml,199,sample.kel:708,sample.kel:766,無,
lib/decls.ml,203,sample.kel:711,sample.kel:769,無,
lib/decls.ml,274,sample.kel:746,sample.kel:810,無,
lib/decls.ml,794,sample.kel:540,sample.kel:591,無,
lib/decls.ml,869,sample.kel:345,sample.kel:372,無,
lib/decls.ml,872,sample.kel:348-352,sample.kel:375-379,無,
lib/decls.ml,958,sample.kel:319,sample.kel:343,無,
lib/decls.ml,1004,sample.kel:319,sample.kel:343,無,
lib/decls.ml,1049,sample.kel:379-381,sample.kel:414-416,無,
lib/decls.ml,1051,sample.kel:433-438,sample.kel:476-482,有,"置換/削除された旧行: 433,434"
lib/decls.ml,1202,sample.kel:637,sample.kel:695,無,
lib/decls.ml,1241,sample.kel:328,sample.kel:355,無,
lib/decls.ml,1291,sample.kel:329-352,sample.kel:356-379,無,
lib/elab.ml,27,sample.kel:399,sample.kel:436,無,
lib/elab.ml,265,sample.kel:729-732,sample.kel:789-793,無,
lib/elab.ml,440,sample.kel:413-438,sample.kel:450-482,有,"置換/削除された旧行: 428,429,433,434"
lib/elab.ml,472,sample.kel:193-198,sample.kel:211-216,無,
lib/elab.ml,793,sample.kel:410,sample.kel:447,無,
lib/elab.ml,1128,sample.kel:540-545,sample.kel:591-596,無,
lib/elab.ml,1375,sample.kel:470,sample.kel:521,無,
lib/elab.ml,1390,sample.kel:470,sample.kel:521,無,
lib/elab.ml,1688,sample.kel:467-470,sample.kel:518-521,無,
lib/elab.ml,1820,sample.kel:462,sample.kel:511,無,
lib/elab.ml,1835,sample.kel:407,sample.kel:444,無,
lib/elab.ml,1837,sample.kel:408,sample.kel:445,無,
lib/elab.ml,1837,sample.kel:524,sample.kel:575,無,
lib/elab.ml,1838,sample.kel:641,sample.kel:699,無,
lib/elab.ml,2118,sample.kel:471,sample.kel:522,無,
lib/elab.ml,2131,sample.kel:413-438,sample.kel:450-482,有,"置換/削除された旧行: 428,429,433,434"
lib/elab.ml,2148,sample.kel:729-732,sample.kel:789-793,無,
lib/elab.ml,2170,sample.kel:433-438,sample.kel:476-482,有,"置換/削除された旧行: 433,434"
lib/elab.ml,2511,sample.kel:689,sample.kel:747,無,
lib/elab.ml,2669,sample.kel:729-732,sample.kel:789-793,無,
lib/elab.ml,2750,sample.kel:318,sample.kel:342,無,
lib/elab.ml,2803,sample.kel:394-398,sample.kel:431-435,無,
lib/elab.ml,2850,sample.kel:318,sample.kel:342,無,
lib/elab.ml,2861,sample.kel:340,sample.kel:367,無,
lib/elab.ml,2874,sample.kel:354-356,sample.kel:381-383,無,
lib/elab.ml,2898,sample.kel:415-421,sample.kel:452-458,無,
lib/elab.ml,2993,sample.kel:319,sample.kel:343,無,
lib/elab.ml,3058,sample.kel:386-389,sample.kel:421-424,無,
lib/elab.ml,3123,sample.kel:399,sample.kel:436,無,
lib/elab.ml,3288,sample.kel:386-389,sample.kel:421-424,無,
lib/elab.ml,3397,sample.kel:746,sample.kel:810,無,
lib/elab.ml,3711,sample.kel:711,sample.kel:769,無,
lib/elab.ml,3813,sample.kel:746,sample.kel:810,無,
lib/elab.ml,3827,sample.kel:741,sample.kel:805,無,
lib/exhaust.ml,850,sample.kel:284-286,sample.kel:308-310,無,
lib/exhaust.ml,888,sample.kel:284-286,sample.kel:308-310,無,
lib/interp.ml,49,sample.kel:240,sample.kel:264,無,
lib/interp.ml,108,sample.kel:506,sample.kel:557,無,
lib/interp.ml,112,sample.kel:506,sample.kel:557,無,
lib/interp.ml,236,sample.kel:240,sample.kel:264,無,
lib/interp.ml,325,sample.kel:325,sample.kel:352,無,
lib/interp.ml,371,sample.kel:240,sample.kel:264,無,
lib/interp.ml,409,sample.kel:161-162,sample.kel:179-180,無,
lib/interp.ml,501,sample.kel:340,sample.kel:367,無,
lib/interp.ml,502,sample.kel:348-352,sample.kel:375-379,無,
lib/interp.ml,715,sample.kel:493-506,sample.kel:544-557,無,
lib/interp.ml,807,sample.kel:506,sample.kel:557,無,
lib/interp.ml,848,sample.kel:506,sample.kel:557,無,
lib/lexer.ml,21,sample.kel:20-27,sample.kel:20-28,有,置換/削除された旧行: 26
lib/lexer.ml,96,sample.kel:82,sample.kel:90,無,
lib/lexer.ml,149,sample.kel:151-152,sample.kel:164-165,無,
lib/lexer.ml,648,sample.kel:20-27,sample.kel:20-28,有,置換/削除された旧行: 26
lib/lexer.ml,677,sample.kel:27,sample.kel:28,無,
lib/lexer.ml,746,sample.kel:257,sample.kel:281,無,
lib/parser.mly,161,sample.kel:152,sample.kel:165,無,
lib/parser.mly,327,sample.kel:541,sample.kel:592,無,
lib/parser.mly,647,sample.kel:514,sample.kel:565,無,
lib/parser.mly,750,sample.kel:82,sample.kel:90,無,
lib/parser.mly,753,sample.kel:297,sample.kel:321,無,
lib/parser.mly,1020,sample.kel:572,sample.kel:623,無,
lib/prelude.kel,47,sample.kel:471-474,sample.kel:522-525,無,
lib/prelude.kel,95,sample.kel:210,sample.kel:228,無,
lib/prelude.kel,97,sample.kel:213-216,sample.kel:231-234,無,
lib/prelude.kel,127,sample.kel:407,sample.kel:444,無,
lib/prelude.kel,128,sample.kel:646,sample.kel:704,無,
lib/prelude.kel,129,sample.kel:408,sample.kel:445,無,
lib/prelude.kel,133,sample.kel:462,sample.kel:511,無,
lib/prelude.kel,161,sample.kel:478,sample.kel:529,無,
lib/prelude.kel,172,sample.kel:637,sample.kel:695,無,
lib/prelude.kel,173,sample.kel:518-521,sample.kel:569-572,無,
lib/prelude.kel,175,sample.kel:408,sample.kel:445,無,
lib/prelude.kel,184,sample.kel:643-646,sample.kel:701-704,無,
lib/prelude.kel,191,sample.kel:407,sample.kel:444,無,
lib/prelude.kel,226,sample.kel:524-532,sample.kel:575-583,無,
lib/prelude.kel,343,sample.kel:471-474,sample.kel:522-525,無,
lib/prelude.kel,391,sample.kel:471-474,sample.kel:522-525,無,
lib/prims.ml,39,sample.kel:321-326,sample.kel:348-353,無,
lib/prims.ml,143,sample.kel:462,sample.kel:511,無,
lib/prims.ml,144,sample.kel:579,sample.kel:630,有,置換/削除された旧行: 579
