ファイル,行,旧,新,形,場所,区分,適用,照合,旧の行の先頭
lib/builtin.ml,36,sample.kel:273-275,sample.kel:273-275,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 関数は複数の引数を取り、1 個の値を返す。引数の個数（arity）は矢印型の一部である。
lib/builtin.ml,95,sample.kel:601-606,sample.kel:603-608,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,let h = __open(path)
lib/builtin.ml,98,sample.kel:605-606,sample.kel:607-608,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,case return(x) => { __close(h); x }
lib/builtin.ml,175,sample.kel:120,sample.kel:120,sample.kel:N,コメント,512 行以前(不変),不変,一致,// Int64 から Int32 への変換は折り返す（wrap-around）。整数算術の桁あふれも折り返す（暫定。§
lib/builtin.ml,197,sample.kel:859-864,sample.kel:861-866,sample.kel:N-M,コメント,513 行以降(+2),付け替え(本文),一致,// TODO: Ord[Float64]、Eq[Float64] と NaN。IEEE 754 に従うと、eq、lt、
lib/builtin.ml,200,sample.kel:259,sample.kel:259,sample.kel:N,コメント,512 行以前(不変),不変,一致,newtype TotalFloat64(Float64)                 // §14 の Ord[F
lib/builtin.ml,201,sample.kel:259,sample.kel:259,sample.kel:N,コメント,512 行以前(不変),不変,一致,newtype TotalFloat64(Float64)                 // §14 の Ord[F
lib/builtin.ml,204,sample.kel:861,sample.kel:863,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,//       derive structural の Eq も同様で、Float64 のフィールドを 1 つ持つだけ
lib/decls.ml,203,sample.kel:791,sample.kel:793,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"extern ""C"" let sin(x: Float64): Float64                  // "
lib/decls.ml,207,sample.kel:794,sample.kel:796,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// 関数がブロックするかどうかを知っているのはバインディングの作者なので、印は宣言側に付ける。
lib/decls.ml,285,sample.kel:838,sample.kel:840,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,type MyBigInt = BigInt  // コンパニオン型（モジュールと同名の型は、モジュール名だけで参照でき
lib/decls.ml,792,:464,:464,接頭辞のない裸の :N,コメント,512 行以前(不変),不変,一致,effect Console = { write: (String) => Unit }   // ランタイムが提供する
lib/decls.ml,792,:590,:592,接頭辞のない裸の :N,コメント,513 行以降(+2),付け替え(本文),一致,"write: (String) => Unit,"
lib/decls.ml,803,sample.kel:616,sample.kel:618,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"let copy(src: String, dst: String): Unit @ {Console, Fs} = {"
lib/decls.ml,803,:620,:622,同じ行の二次参照(:N),コメント,513 行以降(+2),付け替え(本文),一致,perform write(text)                         // 最も左の File は d
lib/decls.ml,805,:530-532,:532-534,接頭辞のない裸の :N(範囲),コメント,513 行以降(+2),付け替え(本文),一致,// 下の copy の write は、候補が File と Console の 2 つある。with_file が積
lib/decls.ml,878,sample.kel:388,sample.kel:388,sample.kel:N,コメント,512 行以前(不変),不変,一致,derive structural                           // 組み込みの構造的導出を有効
lib/decls.ml,881,sample.kel:391-395,sample.kel:391-395,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 導出は閉じた行にだけ適用する。行変数を含む型は比較できない。
lib/decls.ml,962,sample.kel:449-450,sample.kel:449-450,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 標準ライブラリは、List と Option に Show のインスタンスを持つ（`type instance[A
lib/decls.ml,963,sample.kel:421,sample.kel:421,sample.kel:N,コメント,512 行以前(不変),不変,一致,type instance[A: Eq] Eq[List[_]] {
lib/decls.ml,965,sample.kel:357,sample.kel:357,sample.kel:N,コメント,512 行以前(不変),不変,一致,// コヒーレンス（インスタンスの一意性）は守る。インスタンスは常に大域的に見え、隠したり選び直したりできない。
lib/decls.ml,1007,sample.kel:357,sample.kel:357,sample.kel:N,コメント,512 行以前(不変),不変,一致,// コヒーレンス（インスタンスの一意性）は守る。インスタンスは常に大域的に見え、隠したり選び直したりできない。
lib/decls.ml,1051,sample.kel:433-436,sample.kel:433-436,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 入れ子の矢印（メソッドの引数の型）で省略した `@` は、`@ {}`（純粋）と読む（§9）。
lib/decls.ml,1052,sample.kel:496-502,sample.kel:496-502,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,// 入れ子の矢印に書いた行は、書いたとおりに読み、行変数で開かない。入れ子の矢印とは、最外以外のすべての矢印である。
lib/decls.ml,1117,sample.kel:690,sample.kel:692,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// この契約は 1 段だけに適用する。要素そのものが可変配列なら、取り出した配列の要素は、元の可変配列の要素と同じもの
lib/decls.ml,1122,sample.kel:691,sample.kel:693,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,"// ただし要素の h は結果の型 Array[MutableArray[h, A]] に残るので、脱出検査がリージョン"
lib/decls.ml,1132,sample.kel:692,sample.kel:694,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// length が Heap[h] を要求するのは、長さが変わりうるからではない（長さを変える操作はない）。可変配列
lib/decls.ml,1207,sample.kel:720,sample.kel:722,sample.kel:N,コメント,513 行以降(+2),付け替え(本文),一致,// 並列処理は純粋な計算に限るので、結果は決定的である。
lib/decls.ml,1260,sample.kel:371,sample.kel:371,sample.kel:N,コメント,512 行以前(不変),不変,一致,// Num のような 1 つのクラスにまとめないのは、String のように `+` だけを持つ型があるためである。
lib/decls.ml,1310,sample.kel:372-395,sample.kel:372-395,sample.kel:N-M,コメント,512 行以前(不変),不変,一致,"type class Add[A] { val add: (A, A) => A }"
lib/elab.ml,31,sample.kel:456,sample.kel:456,sample.kel:N,コメント,512 行以前(不変),不変,一致,let user_names[E](xs: List[User]): List[String] @ {Print ext
lib/elab.ml,31,:508,:508,同じ行の二次参照(:N),コメント,512 行以前(不変),不変,一致,let println(message: String): Unit @ Print = perform print(m
